"","County","Year","DI.Avg.","Yield","Soil..WA.","RF.May.","RF.June.","RF.July.","RF.Aug.","RF.Sep.","TMax.May.","TMin..May.","TMax.June.","TMin.June.","TMax.July.","TMin.July.","TMax.Aug.","TMin.Aug.","TMax.Sep.","TMin.Sep."
"1","Adair",1996,5.44,"Very Low",62.3,2178,1436,498,337,1054,198.0645161,102.3870968,273.5333333,156.4666667,283.7419355,168.5806452,277.9677419,166.7096774,232.1,109.3
"2","Adair",1997,0.06,"Low",62.3,1067,490,253,440,793,205.6129032,72.96774194,288.7333333,158.6,308.5806452,184.6129032,289.5806452,167.1290323,265.2333333,131.5333333
"3","Adair",1999,9.1,"Low",62.3,1674,1032,772,835,538,216.7096774,109.9354839,271.1666667,158.5333333,320.1612903,203.1935484,285.9354839,163.2258065,245.0666667,105.6666667
"4","Adair",2001,2.19,"Low",62.3,1653,869,652,228,1366,230.483871,112.8387097,273.6666667,150.2,308.3225806,194.3870968,308.7419355,178.1935484,241.3666667,115.1333333
"5","Adair",2002,-5.85,"High",62.3,1008,462,980,932,390,218.8064516,87.64516129,294.9,174.8,317.1935484,194.1290323,290.3870968,167.0322581,272.9333333,134.1
"6","Adams",1997,0.06,"Very Low",57.5,1145,643,380,525,529,195,57,283.0333,151.2667,301.3333,182.6667,278.7419,163.5161,256.6667,120.3667
"7","Adams",1998,10.46,"Low",57.5,824,1910,800,808,254,241.3871,132.4193548,253.8667,145.8333,291.5161,189.3226,286.8333,183.7,281.4667,151.7667
"8","Adams",1999,9.1,"Low",57.5,1346,764,438,1160,1067,207.7419,100,254.5,156.1333,304.2581,197.6452,277.2903,158.8387,235.5667,97.6
"9","Adams",2000,-1.82,"Low",57.5,454,1706,1102,541,427,246.7742,105,265.1667,139.7667,276.4839,174.0323,301.4839,187.2903,260.6333,126.1
"10","Adams",2002,-5.85,"Low",57.5,1150,654,561,1288,450,204.4839,76.67741935,287.7667,166.3,312.0645,193.0645,288.8387,167.0645,262.7667,122.1
"11","Adams",2003,-3.58,"Low",57.5,1190,957,589,272,658,208.5484,83.25806452,254.6333,130.3,300.1613,176.0968,317.6129,177.9677,238.3333,84.16667
"12","Adams",2004,5.4,"High",57.5,2201,718,2352,1120,740,226.9355,105.5806452,247.9333,135.3,267.5161,162.1935,255.9677,138.3548,264.1,126.6667
"13","Allamakee",1995,0.35,"Very Low",43.3,1197.75,696,1301,1036.5,432.25,188.2581,75.67741935,268.9333,144.1333,284.4516,166.7097,291.0323,190.6774,210.2333,79.1
